epoch,acc,loss,lr,val_acc,val_loss
0,0.181,1.7917459670305251,1e-05,0.17,1.7917874193191528
1,0.171,1.791799632191658,1e-05,0.145,1.7919702404737472
2,0.166,1.7917474287748336,1e-05,0.16,1.791755067706108
3,0.193,1.791548058986664,1e-05,0.175,1.7917828041315078
4,0.167,1.7918033254146577,1e-05,0.21,1.79122656583786
5,0.169,1.7916113179922104,1e-05,0.14,1.7925419980287551
6,0.166,1.7919441893100738,1e-05,0.185,1.7915679216384888
7,0.154,1.7918845232725142,1e-05,0.16,1.7917496621608735
8,0.173,1.7916521559953689,1e-05,0.15,1.7925925439596175
9,0.186,1.7913512976169585,1e-05,0.125,1.7934031391143799
10,0.182,1.7916716958284378,1e-05,0.165,1.792001061439514
11,0.184,1.7914865527153014,1e-05,0.155,1.7921604436635972
12,0.161,1.7922202098369597,1e-05,0.125,1.792453595995903
13,0.18,1.7917120141983032,1e-05,0.17,1.7914591485261917
14,0.159,1.7920105949640275,1e-05,0.175,1.791895728111267
15,0.171,1.79181037402153,1e-05,0.09,1.7932528281211852
16,0.165,1.7919912514686585,1e-06,0.125,1.7925870603322982
17,0.154,1.7920644468069076,1e-06,0.21,1.790819420814514
18,0.165,1.7916778310537338,1e-06,0.195,1.791637595295906
19,0.16,1.7918454248905182,1e-06,0.185,1.7917179530858993
20,0.169,1.7916444294452667,1e-06,0.155,1.791639449596405
21,0.167,1.7920349320173263,1e-06,0.19,1.7916389113664628
22,0.182,1.7916764286756515,1e-06,0.165,1.791895215511322
